document_ir_run_id,page_id,page_index,printed_page_label,candidate_clause_id,candidate_title,score,rank,matched_terms,candidate_source_url,candidate_source_locator,suggested_relation,review_state
gt-yuexiu-2024-p062-p067-v1,page-0002,1,63,hkex_c2_27,Risk management,8.0,1,風險管理 | Risk management,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 27,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0002,1,63,gri_201_2,Financial implications and other risks and opportunities due to climate change,6.0,2,氣候變化風險 | 氣候風險,https://www.globalreporting.org/publications/documents/english/gri-201-economic-performance-2016/,Disclosure 201-2,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0002,1,63,hkex_c2_20,Climate-related risks and opportunities,6.0,3,氣候變化風險 | 氣候風險,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 20,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0002,1,63,ifrs_s2_risk_management,Risk management,5.0,4,Risk management,https://www.ifrs.org/issued-standards/ifrs-sustainability-standards-navigator/ifrs-s2-climate-related-disclosures/,Risk management,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0002,1,63,gri_3_3,Management of material topics,3.0,5,風險管理,https://www.globalreporting.org/publications/documents/english/gri-3-material-topics-2021/,Disclosure 3-3,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0003,2,64,gri_201_2,Financial implications and other risks and opportunities due to climate change,9.0,1,氣候變化風險 | 物理風險 | 轉型風險,https://www.globalreporting.org/publications/documents/english/gri-201-economic-performance-2016/,Disclosure 201-2,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0003,2,64,hkex_c2_20,Climate-related risks and opportunities,9.0,2,氣候變化風險 | 物理風險 | 轉型風險,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 20,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0003,2,64,gri_3_3,Management of material topics,3.0,3,風險管理,https://www.globalreporting.org/publications/documents/english/gri-3-material-topics-2021/,Disclosure 3-3,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0003,2,64,hkex_c2_22,Strategy and decision-making,3.0,4,應對措施,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 22,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0003,2,64,hkex_c2_26,Climate resilience,3.0,5,情境分析,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 26,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0004,3,65,gri_201_2,Financial implications and other risks and opportunities due to climate change,9.0,1,氣候風險 | 物理風險 | 轉型風險,https://www.globalreporting.org/publications/documents/english/gri-201-economic-performance-2016/,Disclosure 201-2,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0004,3,65,hkex_c2_20,Climate-related risks and opportunities,9.0,2,氣候風險 | 物理風險 | 轉型風險,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 20,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0004,3,65,gri_3_3,Management of material topics,3.0,3,風險管理,https://www.globalreporting.org/publications/documents/english/gri-3-material-topics-2021/,Disclosure 3-3,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0004,3,65,hkex_c2_22,Strategy and decision-making,3.0,4,應對措施,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 22,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0004,3,65,hkex_c2_27,Risk management,3.0,5,風險管理,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 27,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0005,4,66,gri_201_2,Financial implications and other risks and opportunities due to climate change,3.0,1,轉型風險,https://www.globalreporting.org/publications/documents/english/gri-201-economic-performance-2016/,Disclosure 201-2,candidate_only,review_required
gt-yuexiu-2024-p062-p067-v1,page-0005,4,66,hkex_c2_20,Climate-related risks and opportunities,3.0,2,轉型風險,https://en-rules.hkex.com.hk/rulebook/appendix-c2-environmental-social-and-governance-reporting-code-0,Paragraph 20,candidate_only,review_required
